Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
91,Raftsjohojden V,Analogue,	145.68750,	145.08750,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,63.6165,14.9929,Yes
92,Sandviken 1 VS,Analogue,	145.70000,	145.10000,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,60.75,16.49,Yes
93,Sandviken 3 US,Analogue,	434.82500,	432.82500,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,60.75,16.49,Yes
94,Solleftea 1 V,Analogue,	145.65000,	145.05000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,63.1654,17.2771,Yes
95,Solleftea 2 U,Analogue,	434.92500,	432.92500,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,63.1828,17.2718,Yes
96,Sundsvall 1 VSE,Analogue,	145.72500,	145.12500,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,62.3958,17.4583,Yes
97,Soderhamn 2 V,Analogue,	145.75000,	145.15000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,61.2969,17.0864,Yes
98,Soderhamn 4 U,Analogue,	434.75000,	433.15000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,61.2969,17.0864,Yes
99,Arsunda U,Analogue,	434.65000,	436.25000,12.5,,,,,,,,88.5,88.5,Disabled,Master,No,No,No,120,Off,No,No,None,60.5164,16.7344,Yes
100,Ornskoldsvi 2 VS,Analogue,	145.77500,	145.17500,12.5,,,,,,,,110.9,110.9,Disabled,Master,No,No,No,120,Off,No,No,None,0,0,Yes
101,Ornskoldsvi 3 US,Analogue,	434.87500,	432.87500,12.5,,,,,,,,110.9,110.9,Disabled,Master,No,No,No,120,Off,No,No,None,0,0,Yes
102,Ornskoldsvik 4 U,Digital,	434.77500,	432.77500,,3,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,63.2963,18.7318,Yes
103,Osterfarneb 2 US,Analogue,	434.85000,	432.85000,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,0,0,Yes
104,Ostersund 1 V,Analogue,	145.75000,	145.15000,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,63.1898,14.7668,Yes
105,Ostersund 2 VS,Analogue,	145.78750,	145.18750,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,63.1047,14.6022,Yes
106,Ostersund 3 U,Digital,	434.56250,	432.56250,,3,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,63.1047,14.6022,Yes
107,Ostersund 4 UE,Analogue,	434.75000,	432.75000,12.5,,,,,,,,127.3,127.3,Disabled,Master,No,No,No,120,Off,No,No,None,63.1898,14.7668,Yes
108,Arvika 1 U,Analogue,	434.77500,	432.77500,12.5,,,,,,,,74.4,74.4,Disabled,Master,No,No,No,120,Off,No,No,None,59.7736,12.2336,Yes
109,Borlange 1 US,Analogue,	434.80000,	432.80000,12.5,,,,,,,,85.4,85.4,Disabled,Master,No,No,No,120,Off,No,No,None,60.4014,15.465,Yes
110,Borlange 2 U,Digital,	434.85000,	432.85000,,12,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,60.4014,15.465,Yes
111,Eksharad UHI,Digital,	433.20000,	433.20000,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,60.1769,13.4925,Yes
112,Falun 1 VS,Analogue,	145.62500,	145.02500,12.5,,,,,,,,85.4,85.4,Disabled,Master,No,No,No,120,Off,No,No,None,60.6295,15.677,Yes
113,Falun 2 U,Digital,	434.62500,	432.62500,,1,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,60.6295,15.677,Yes
114,Garphyttan V,Analogue,	145.65000,	145.05000,12.5,,,,,,,,74.4,74.4,Disabled,Master,No,No,No,120,Off,No,No,None,59.3316,14.9309,Yes
115,Grums U,Analogue,	434.72500,	432.72500,12.5,,,,,,,,74.4,74.4,Disabled,Master,No,No,No,120,Off,No,No,None,59.3398,13.1179,Yes
116,Grangesberg VL,Analogue,	145.35000,	145.35000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,60.0715,15.0157,Yes
117,Hagfors 2 VE,Analogue,	145.67500,	145.07500,12.5,,,,,,,,114.8,114.8,Disabled,Master,No,No,No,120,Off,No,No,None,60.0225,13.7602,Yes
118,Karlskoga 1 V,Digital,	145.75000,	145.15000,,4,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.378,14.435,Yes
119,Karlskoga 2 U,Digital,	434.80000,	432.80000,,4,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.3175,14.4812,Yes
120,Karlstad VS,Analogue,	145.57500,	144.97500,12.5,,,,,,,,74.4,74.4,Disabled,Master,No,No,No,120,Off,No,No,None,59.4251,13.4838,Yes
121,Kopparberg 1 V,Analogue,	145.60000,	145.00000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,59.9223,15.0425,Yes
122,Leksand 2 VI,Analogue,	145.77500,	145.17500,12.5,,,,,,,,85.4,85.4,Disabled,Master,No,No,No,120,Off,No,No,None,60.674,15.0175,Yes
123,Leksand 3 U,Digital,	434.61250,	432.61250,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,60.7488,15.0725,Yes
124,Lindesberg 1 V,Analogue,	145.68750,	145.08750,12.5,,,,,,,,74.4,74.4,Disabled,Master,No,No,No,120,Off,No,No,None,59.651,15.133,Yes
125,Lindesberg 2 VLS,Analogue,	145.30000,	145.30000,12.5,,,,,,,,136.5,136.5,Disabled,Master,No,No,No,120,Off,No,No,None,59.5967,15.2066,Yes
126,Ludvika 1 V,Analogue,	145.72500,	145.12500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,60.1025,15.13,Yes
127,Ludvika 2 U,Analogue,	434.72500,	433.12500,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,60.1025,15.13,Yes
128,Ludvika 3 V,Digital,	145.66250,	145.06250,,4,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,60.1239,15.1436,Yes
129,Malung VH,Digital,	144.83750,	144.83750,,4,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,60.6852,13.7168,Yes
130,Mora 3 U,Analogue,	434.70000,	432.70000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,61.0066,14.5028,Yes
131,Nybble VLS,Analogue,	145.30000,	145.30000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,59.1111,14.1663,Yes
